OriginalArtifact,OriginalSHA256,PublicationCopy,PublicationCopySHA256,Transformation,Reason
experiments/prospective-diag-2arm-01/implementation/CHECK_V4_LINE_ENDINGS.py,e6353bee2927c8f4d36a925268f090aeb218d9681c51c3c8891f1c7a320931ce,publication-copies/CHECK_V4_LINE_ENDINGS.PUBLICATION_COPY.py,fb9c0f0c111de6214e2b6af92d91452d9b5501d23191a7fbdf5f040291831cac,Replaced exactly 1 occurrence(s) of C:\Users\<LOCAL_USER>\Desktop\test with C:\Users\<LOCAL_USER>\Desktop\test; no other byte transformation.,Remove local username/workspace path from public copy while retaining original locally.
experiments/prospective-diag-2arm-01/implementation/RUN_PROSPECTIVE_DIAG_2ARM_01.py,b5a88c45ab38bf85e28d82ee43556ad6383a2dc500093508216ff0f0dc7f93f6,publication-copies/RUN_PROSPECTIVE_DIAG_2ARM_01.PUBLICATION_COPY.py,d7391acc888b8e0dcde4b01fd5ec946152fd27276e250704de22b0e269ae1dcc,Replaced exactly 1 occurrence(s) of C:\Users\<LOCAL_USER>\Desktop\test with C:\Users\<LOCAL_USER>\Desktop\test; no other byte transformation.,Remove local username/workspace path from public copy while retaining original locally.
experiments/prospective-diag-2arm-01/implementation/RUN_PROSPECTIVE_DIAG_2ARM_01_v2.py,2a9c904cef21511039ed85ba7b7cc02f61ac2aa01889c5077ca6ab224cc6d9b1,publication-copies/RUN_PROSPECTIVE_DIAG_2ARM_01_v2.PUBLICATION_COPY.py,55337fc22c17393e21bdd70bdb7e07d3d06bb288caae5962b13999f09d97e7fa,Replaced exactly 1 occurrence(s) of C:\Users\<LOCAL_USER>\Desktop\test with C:\Users\<LOCAL_USER>\Desktop\test; no other byte transformation.,Remove local username/workspace path from public copy while retaining original locally.
experiments/prospective-diag-2arm-01/implementation/RUN_PROSPECTIVE_DIAG_2ARM_01_v3.py,bdf5aac913f656c262807fb15abd39f267e77a62e3426c9c4ef6329c8492047c,publication-copies/RUN_PROSPECTIVE_DIAG_2ARM_01_v3.PUBLICATION_COPY.py,9ef73760c1d92d219f7647105bc6c839065857bc4a938affe30d1b1a61ee6561,Replaced exactly 1 occurrence(s) of C:\Users\<LOCAL_USER>\Desktop\test with C:\Users\<LOCAL_USER>\Desktop\test; no other byte transformation.,Remove local username/workspace path from public copy while retaining original locally.
experiments/prospective-diag-2arm-01/implementation/RUN_PROSPECTIVE_DIAG_2ARM_01_v4.py,d8afc3ed1370d66e11a042375314ceb326608aa46463bc2fbb5b868b044b2f0a,publication-copies/RUN_PROSPECTIVE_DIAG_2ARM_01_v4.PUBLICATION_COPY.py,7dc35eb411cfee8093573bdb813708fd8056fd2d018d2566937f3295d882bd0a,Replaced exactly 1 occurrence(s) of C:\Users\<LOCAL_USER>\Desktop\test with C:\Users\<LOCAL_USER>\Desktop\test; no other byte transformation.,Remove local username/workspace path from public copy while retaining original locally.
experiments/prospective-diag-2arm-01/implementation/RUN_PROSPECTIVE_DIAG_2ARM_01_v5.py,95554884df2d85a59d2b9c96004ead7666d8bac98973ecab93de436148972e2e,publication-copies/RUN_PROSPECTIVE_DIAG_2ARM_01_v5.PUBLICATION_COPY.py,299cd9207d14ce363822b784c47cc1467e4bd19a1812e3ffc8da083af69a212a,Replaced exactly 1 occurrence(s) of C:\Users\<LOCAL_USER>\Desktop\test with C:\Users\<LOCAL_USER>\Desktop\test; no other byte transformation.,Remove local username/workspace path from public copy while retaining original locally.
experiments/prospective-diag-2arm-01/implementation/SMOKE_CLEAN_STDOUT.py,a40a8fe73853231af00a500544b3afda13ecaa70f41d166bac0a73b575aabe43,publication-copies/SMOKE_CLEAN_STDOUT.PUBLICATION_COPY.py,8930c10b0621d3cea1ad5f2febed40418377b2f8edd1fe3cf748e4ccb0d5a75d,Replaced exactly 2 occurrence(s) of C:\Users\<LOCAL_USER>\Desktop\test with C:\Users\<LOCAL_USER>\Desktop\test; no other byte transformation.,Remove local username/workspace path from public copy while retaining original locally.
